"STATION","NAME","DATE","TMAX","TMIN"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-24","89","58"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-25","87","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-26","81","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-27","83","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-28","75","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-29","81","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-30","77","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-31","81","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-01","78","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-02","70","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-03","75","56"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-04","80","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-05","79","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-06","80","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-07","85","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-08","78","51"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-09","78","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-10","84","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-11","86","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-12","87","51"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-13","87","60"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-14","83","62"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-15","79","58"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-16","79","55"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-17","77","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-18","72","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-19","76","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-20","81","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-21","80","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-22","78","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-23","76","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-24","77","51"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-25","77","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-26","78","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-27","84","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-28","85","51"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-29","88","53"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-30","87","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-08-31","86","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-01","80","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-02","83","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-03","82","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-04","79","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-05","66","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-06","70","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-07","72","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-08","79","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-09","84","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-10","71","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-11","68","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-12","73","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-13","67","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-14","62","35"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-15","68","34"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-16","52","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-17","58","35"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-18","60","30"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-19","65","28"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-20","70","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-21","75","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-22","67","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-23","74","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-24","70","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-25","66","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-26","65","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-27","60","34"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-28","67","31"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-29","72","35"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-09-30","75","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-01","74","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-02","55","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-03","56","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-04","65","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-05","68","35"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-06","69","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-07","75","39"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-08","79","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-09","80","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-10","80","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-11","75","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-12","75","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-13","72","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-14","68","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-15","69","33"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-16","63","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-17","59","29"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-18","66","30"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-19","52","34"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-20","48","20"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-21","36","15"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-22","47","12"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-23","49","19"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-24","54","20"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-25","35","16"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-26","35","11"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-27","32","22"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-28","34","22"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-10-29","40","23"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-04-23","59","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-04-24","37","21"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-04-25","64","30"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-04-26","79","30"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-04-27","68","29"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-04-28","49","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-04-29","74","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-04-30","80","28"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-01","69","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-02","78","28"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-03","86","26"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-04","87","37"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-05","90","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-06","88","33"
